#format table ## [Custom WaveView] saved 04:37:16 Wed Sep 24 2025
TIME ,ap 
 0.000000000E+00 , 4.404387965E-08 
 2.500000000E-12 , 4.404387965E-08 
 5.000000000E-12 , 4.404387965E-08 
 1.300000000E-11 , 4.404387965E-08 
 3.860000000E-11 , 4.404387965E-08 
 1.205200000E-10 , 4.404387965E-08 
 3.826640000E-10 , 4.404387965E-08 
 1.221524800E-09 , 4.404387965E-08 
 3.905879360E-09 , 4.404387965E-08 
 1.249581395E-08 , 4.404387965E-08 
 3.998360465E-08 , 4.404387965E-08 
 1.279445349E-07 , 4.404387965E-08 
 4.094195116E-07 , 4.404387965E-08 
 1.000000000E-06 , 4.404387965E-08 
 1.000001000E-06 , 2.752319261E-08 
 1.000004200E-06 ,-2.830393164E-08 
 1.000014440E-06 ,-2.186832830E-07 
 1.000047208E-06 ,-8.920020491E-07 
 1.000152066E-06 ,-2.624658237E-06 
 1.000487610E-06 ,-3.687748858E-06 
 1.001561352E-06 ,-6.201337897E-07 
 1.004997326E-06 ,-1.307356428E-07 
 1.015992442E-06 ,-7.958878996E-07 
 1.043166349E-06 ,-3.350292673E-06 
 1.080108222E-06 ,-2.362716032E-06 
 1.100000000E-06 ,-2.407543661E-06 
 1.100001000E-06 ,-2.394233888E-06 
 1.100004200E-06 ,-2.352011961E-06 
 1.100014440E-06 ,-2.225177468E-06 
 1.100047208E-06 ,-1.852647074E-06 
 1.100152066E-06 ,-1.008807999E-06 
 1.100487610E-06 ,-2.237160013E-09 
 1.101561352E-06 , 6.987664847E-08 
 1.104997326E-06 , 2.899351870E-08 
 1.115992442E-06 , 6.410816411E-08 
 1.151176814E-06 , 3.065434484E-08 
 1.263766805E-06 , 6.374538231E-08 
 1.624054775E-06 , 3.108335278E-08 
 2.522990265E-06 , 6.417791809E-08 
 5.399583834E-06 , 4.849812285E-08 
 1.000000000E-05 , 4.874406301E-08 
 1.000000100E-05 , 4.874464565E-08 
 1.000000420E-05 , 4.875198911E-08 
 1.000001444E-05 , 4.880278581E-08 
 1.000004721E-05 , 4.951362698E-08 
 1.000015207E-05 , 5.362323563E-08 
 1.000048761E-05 , 7.965295623E-08 
 1.000156135E-05 , 1.869957202E-07 
 1.000499733E-05 , 5.327397616E-07 
 1.001000000E-05 , 1.035288506E-06 
 1.001000100E-05 , 1.035389118E-06 
 1.001000420E-05 , 1.035705509E-06 
 1.001001444E-05 , 1.036664457E-06 
 1.001004721E-05 , 1.039481731E-06 
 1.001015207E-05 , 1.045869112E-06 
 1.001048761E-05 , 1.051046752E-06 
 1.001156135E-05 , 1.055276130E-06 
 1.001499733E-05 , 1.052621428E-06 
 1.002599244E-05 , 1.054284553E-06 
 1.006117681E-05 , 1.005725380E-06 
 1.017376680E-05 , 1.060450018E-06 
 1.053405477E-05 , 9.821778804E-07 
 1.168697628E-05 , 1.053113465E-06 
 1.369667434E-05 , 9.820404330E-07 
 1.472508862E-05 , 1.065291030E-06 
 1.522653737E-05 , 1.309085405E-06 
 1.540042181E-05 , 1.459822897E-06 
 1.558237460E-05 , 1.699326049E-06 
 1.594628019E-05 , 3.316788025E-06 
 1.603075572E-05 , 4.715341674E-06 
 1.611156286E-05 , 7.442969036E-06 
 1.614702707E-05 , 1.147182411E-05 
 1.616269452E-05 , 1.156146755E-05 
 1.617522849E-05 , 7.496976195E-06 
 1.618624027E-05 ,-2.530152960E-05 
 1.621630142E-05 , 8.682665974E-02 
 1.623250246E-05 , 4.836128354E-01 
 1.624634496E-05 , 5.107656121E-01 
 1.625602796E-05 , 4.889679253E-01 
 1.626689216E-05 , 5.084632635E-01 
 1.627879235E-05 , 4.918658733E-01 
 1.629041191E-05 , 5.073232651E-01 
 1.630393795E-05 , 4.853463769E-01 
 1.631823743E-05 , 5.740221143E-01 
 1.633043460E-05 , 4.306472540E-01 
 1.633959582E-05 , 2.105898410E-02 
 1.634187310E-05 , 1.825188752E-03 
 1.634297337E-05 ,-6.956756697E-04 
 1.634385359E-05 ,-9.772743942E-05 
 1.634545336E-05 , 1.104990733E-04 
 1.634881870E-05 ,-2.475689507E-05 
 1.635713595E-05 , 4.803735646E-05 
 1.637080214E-05 ,-4.896121754E-05 
 1.640404169E-05 , 4.703762897E-05 
 1.644239346E-05 ,-4.031345816E-05 
 1.649293182E-05 , 5.530325143E-05 
 1.657007806E-05 ,-4.973497562E-05 
 1.661295729E-05 ,-2.259759185E-06 
 1.673891730E-05 ,-1.888017550E-06 
 1.697561656E-05 ,-2.307903969E-06 
 1.765188313E-05 ,-1.936198714E-06 
 1.802491887E-05 ,-2.333266593E-06 
 1.877308252E-05 ,-1.941755272E-06 
 1.963559533E-05 ,-2.289619715E-06 
 2.028047226E-05 ,-1.614534767E-06 
 2.052464712E-05 ,-1.513538791E-06 
 2.076628733E-05 ,-1.250774744E-06 
 2.088710744E-05 ,-8.424494240E-07 
 2.103989686E-05 , 1.192852466E-07 
 2.114192559E-05 , 1.979264653E-06 
 2.118747598E-05 , 2.563221187E-06 
 2.122391629E-05 ,-6.765168109E-06 
 2.123778783E-05 ,-1.062545743E-05 
 2.128217676E-05 ,-4.260245711E-03 
 2.128951478E-05 ,-9.739496745E-03 
 2.129383566E-05 ,-6.860470865E-03 
 2.129729237E-05 , 6.237785891E-02 
 2.129853426E-05 , 9.672033042E-02 
 2.130250833E-05 , 3.648043275E-01 
 2.130549322E-05 , 5.003020763E-01 
 2.130790137E-05 , 4.987520278E-01 
 2.131108067E-05 , 5.000022054E-01 
 2.131370694E-05 , 4.993398786E-01 
 2.131895947E-05 , 4.997181892E-01 
 2.132840955E-05 , 4.996229112E-01 
 2.134209032E-05 , 5.002728701E-01 
 2.135486291E-05 , 4.998937845E-01 
 2.136913367E-05 , 5.002707839E-01 
 2.138417240E-05 , 5.012626648E-01 
 2.140513055E-05 , 4.760079682E-01 
 2.142312945E-05 , 1.042683236E-02 
 2.143497570E-05 ,-7.655118126E-03 
 2.144361320E-05 , 8.454741910E-03 
 2.145390685E-05 ,-6.686624605E-03 
 2.146574434E-05 , 7.114571985E-03 
 2.147814064E-05 ,-6.016791333E-03 
 2.149258944E-05 , 6.301078480E-03 
 2.149667703E-05 , 2.705248189E-04 
