#format table ## [Custom WaveView] saved 04:35:29 Wed Sep 24 2025
TIME ,current_in 
 0.000000000E+00 , 4.869367132E-08 
 2.500000000E-12 , 4.869367132E-08 
 5.000000000E-12 , 4.869367132E-08 
 1.300000000E-11 , 4.869367132E-08 
 3.860000000E-11 , 4.869367132E-08 
 1.205200000E-10 , 4.869367132E-08 
 3.826640000E-10 , 4.869367132E-08 
 1.221524800E-09 , 4.869367132E-08 
 3.905879360E-09 , 4.869367132E-08 
 1.249581395E-08 , 4.869367132E-08 
 3.998360465E-08 , 4.869367132E-08 
 1.279445349E-07 , 4.869367132E-08 
 4.094195116E-07 , 4.869367132E-08 
 1.000000000E-06 , 4.869367132E-08 
 1.000001000E-06 ,-9.978182192E-08 
 1.000004200E-06 ,-6.100792120E-07 
 1.000014440E-06 ,-2.395420552E-06 
 1.000047208E-06 ,-9.371306987E-06 
 1.000152066E-06 ,-3.406927863E-05 
 1.000487610E-06 ,-9.587008390E-05 
 1.001561352E-06 ,-1.832153648E-04 
 1.004997326E-06 ,-2.487800666E-04 
 1.015992442E-06 ,-5.261020851E-04 
 1.043166349E-06 ,-3.346477402E-03 
 1.080108222E-06 ,-8.491589688E-03 
 1.100000000E-06 ,-1.078304928E-02 
 1.100001000E-06 ,-1.078304928E-02 
 1.100004200E-06 ,-1.078304835E-02 
 1.100014440E-06 ,-1.078304462E-02 
 1.100047208E-06 ,-1.078303531E-02 
 1.100152066E-06 ,-1.078300923E-02 
 1.100487610E-06 ,-1.078294497E-02 
 1.101561352E-06 ,-1.078278013E-02 
 1.104997326E-06 ,-1.078226697E-02 
 1.115992442E-06 ,-1.078062411E-02 
 1.151176814E-06 ,-1.077534351E-02 
 1.263766805E-06 ,-1.075820159E-02 
 1.624054775E-06 ,-1.070091315E-02 
 2.522990265E-06 ,-1.054773759E-02 
 5.399583834E-06 ,-9.991505183E-03 
 1.000000000E-05 ,-8.993066847E-03 
 1.000000100E-05 ,-8.993066847E-03 
