#format table ## [Custom WaveView] saved 04:36:04 Wed Sep 24 2025
TIME ,v_u 
 0.000000000E+00 , 1.805038785E-08 
 2.500000000E-12 , 1.805038785E-08 
 5.000000000E-12 , 1.805038785E-08 
 1.300000000E-11 , 1.805038785E-08 
 3.860000000E-11 , 1.805038785E-08 
 1.205200000E-10 , 1.805038785E-08 
 3.826640000E-10 , 1.805038785E-08 
 1.221524800E-09 , 1.805038785E-08 
 3.905879360E-09 , 1.805038785E-08 
 1.249581395E-08 , 1.805038785E-08 
 3.998360465E-08 , 1.805038785E-08 
 1.279445349E-07 , 1.805038785E-08 
 4.094195116E-07 , 1.805038785E-08 
 1.000000000E-06 , 1.805038785E-08 
 1.000001000E-06 ,-2.650004127E-08 
 1.000004200E-06 ,-1.806016314E-07 
 1.000014440E-06 ,-7.246438258E-07 
 1.000047208E-06 ,-2.914776815E-06 
 1.000152066E-06 ,-1.124936716E-05 
 1.000487610E-06 ,-3.670561273E-05 
 1.001561352E-06 ,-9.663268429E-05 
 1.004997326E-06 ,-1.999103843E-04 
 1.015992442E-06 ,-4.206315207E-04 
 1.043166349E-06 ,-1.502419473E-03 
 1.080108222E-06 ,-3.161723958E-03 
 1.100000000E-06 ,-3.848135937E-03 
 1.100001000E-06 ,-3.848135937E-03 
 1.100004200E-06 ,-3.848136170E-03 
 1.100014440E-06 ,-3.848136635E-03 
 1.100047208E-06 ,-3.848138498E-03 
 1.100152066E-06 ,-3.848144319E-03 
 1.100487610E-06 ,-3.848163411E-03 
 1.101561352E-06 ,-3.848224878E-03 
 1.104997326E-06 ,-3.848429071E-03 
 1.115992442E-06 ,-3.849130590E-03 
 1.151176814E-06 ,-3.851530375E-03 
 1.263766805E-06 ,-3.859261982E-03 
 1.624054775E-06 ,-3.883115482E-03 
 2.522990265E-06 ,-3.938742913E-03 
 5.399583834E-06 ,-4.087118898E-03 
 1.000000000E-05 ,-4.252301529E-03 
 1.000000100E-05 ,-4.252301529E-03 
 1.000000420E-05 ,-4.252301529E-03 
 1.000001444E-05 ,-4.252301995E-03 
 1.000004721E-05 ,-4.252302926E-03 
 1.000015207E-05 ,-4.252305720E-03 
 1.000048761E-05 ,-4.252315033E-03 
 1.000156135E-05 ,-4.252342042E-03 
